CrashId,Latitude,Longitude,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Roadway Name,corridor,corridor-section
761832,41.805415,-72.728579,2020-11-25,A,B,3,State,189-N,Bloomfield Ave,Bloomfield Ave
762151,41.732362,-72.743373,2020-11-25,O,O,3,State,173-N,Main St,South Main 1
773318,41.73256,-72.73528,2020-11-25,O,O,3,State,173-N,New Britain Ave,New Britain Ave
762716,41.786549,-72.747617,2020-11-29,O,O,3,State,218-E,Main St,North Main 2
763522,41.72983,-72.752077,2020-11-29,A,B,3,State,71-S,New Britain Ave,New Britain Ave
764146,41.79772247,-72.74797035,2020-12-03,O,O,3,State,218-E,Main St,North Main 2
764147,41.78771,-72.74793,2020-12-03,O,O,3,State,218-E,Main St,North Main 2
767157,41.786698,-72.74788,2020-12-05,O,O,3,State,218-E,Main St,North Main 2
773233,41.731558,-72.730792,2020-12-07,O,O,3,State,173-N,Newington Rd,Newington Rd
774142,41.798992,-72.723212,2020-12-10,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
770186,41.72718,-72.75734,2020-12-12,O,O,3,State,71-S,New Britain Ave,New Britain Ave
770173,41.78968,-72.74722,2020-12-14,O,O,3,State,218-E,Main St,North Main 2
774476,41.73167,-72.74337,2020-12-19,A,B,3,State,173-N,New Britain Ave,New Britain Ave
775328,41.731345,-72.730925,2020-12-22,O,O,3,State,173-N,Newington Rd,Newington Rd
775329,41.7207,-72.76131,2020-12-23,O,O,3,State,71-N,New Britain Ave,New Britain Ave
775330,41.7207,-72.76131,2020-12-23,O,O,3,State,71-N,New Britain Ave,New Britain Ave
776192,41.73123,-72.72814,2020-12-25,O,O,3,State,529-E,New Britain Ave,New Britain Ave
776210,41.73116,-72.716,2020-12-25,O,O,3,State,529-E,New Britain Ave,New Britain Ave
775530,41.727303,-72.757327,2020-12-26,O,O,3,State,535-N,New Britain Ave,New Britain Ave
776195,41.794195,-72.716951,2020-12-30,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
776437,41.73216,-72.73049,2020-12-30,A,C,3,State,529-E,New Britain Ave,New Britain Ave
776421,41.73001,-72.72342,2020-12-31,O,O,3,State,529-E,New Britain Ave,New Britain Ave
779013,41.75391,-72.736957,2021-01-04,O,O,3,State,501-S,,
779855,41.72718,-72.75734,2021-01-09,O,O,3,State,71-S,New Britain Ave,New Britain Ave
779871,41.730405,-72.719646,2021-01-11,O,O,3,State,529-E,New Britain Ave,New Britain Ave
779819,41.73607,-72.742931,2021-01-12,O,O,3,State,173-N,Main St,South Main 1
789958,41.731064,-72.716478,2021-01-12,O,O,3,State,529-E,New Britain Ave,New Britain Ave
783092,41.732361,-72.73669,2021-01-16,O,O,3,State,173-N,New Britain Ave,New Britain Ave
781504,41.730209,-72.731601,2021-01-17,O,O,3,State,173-N,Newington Rd,Newington Rd
781684,41.731046,-72.716507,2021-01-19,O,O,3,State,529-E,New Britain Ave,New Britain Ave
781662,41.73548,-72.74297,2021-01-20,O,O,3,State,173-N,Main St,South Main 1
781959,41.805704,-72.728707,2021-01-21,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
781960,41.73099,-72.71684,2021-01-21,A,B,3,State,529-E,New Britain Ave,New Britain Ave
782321,41.800876,-72.749853,2021-01-22,O,O,3,State,218-E,Main St,North Main 2
783477,41.726565,-72.759019,2021-01-22,A,B,3,State,71-S,New Britain Ave,New Britain Ave
782324,41.750992,-72.77367,2021-01-23,O,O,3,State,4-E,Farmington Ave,Farmington Ave
782817,41.805626,-72.750869,2021-01-25,O,O,3,State,218-W,Main St,North Main 2
783093,41.723622,-72.760136,2021-01-26,A,C,3,State,71-N,New Britain Ave,New Britain Ave
783685,41.80074,-72.73382,2021-01-26,O,O,3,State,185-E,Simsbury Rd,Simsbury Rd
783686,41.726428,-72.759615,2021-01-26,O,O,3,State,71-S,New Britain Ave,New Britain Ave
785832,41.73216,-72.73049,2021-01-29,O,O,3,State,529-E,New Britain Ave,New Britain Ave
788027,41.72298955,-72.76015,2021-01-29,O,O,3,State,71-N,,
785413,41.80461,-72.72786,2021-02-04,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
786205,41.732409,-72.735819,2021-02-06,O,O,3,State,173-N,New Britain Ave,New Britain Ave
786034,41.732082,-72.739455,2021-02-07,O,O,3,State,173-N,New Britain Ave,New Britain Ave
786035,41.731342,-72.728592,2021-02-07,O,O,3,State,529-E,New Britain Ave,New Britain Ave
787596,41.793924,-72.716696,2021-02-11,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
789310,41.805652,-72.750846,2021-02-11,O,O,3,State,218-W,Main St,North Main 2
791202,41.796339,-72.720313,2021-02-11,O,O,3,State,189-N,Bloomfield Ave,Bloomfield Ave
788293,41.805674,-72.750909,2021-02-12,A,B,3,State,218-W,Main St,North Main 2
788807,41.7262,-72.75951,2021-02-12,O,O,3,State,71-S,New Britain Ave,New Britain Ave
788307,41.721432,-72.76097,2021-02-13,O,O,3,State,71-N,New Britain Ave,New Britain Ave
788391,41.722542,-72.760489,2021-02-15,O,O,3,State,71-N,New Britain Ave,New Britain Ave
790006,41.73216,-72.73049,2021-02-18,O,O,3,State,529-E,New Britain Ave,New Britain Ave
791203,41.73134,-72.728515,2021-02-19,O,O,3,State,529-E,New Britain Ave,New Britain Ave
797428,41.731771,-72.743434,2021-02-24,A,C,3,State,173-N,New Britain Ave,New Britain Ave
791372,41.749252,-72.776337,2021-02-25,O,O,3,State,4-E,Farmington Ave,Farmington Ave
791562,41.732033,-72.74343,2021-02-25,O,O,3,State,173-N,Main St,South Main 1
793655,41.73115,-72.72811,2021-02-25,O,O,3,State,529-E,New Britain Ave,New Britain Ave
793209,41.72994,-72.73172,2021-03-01,A,B,3,State,173-N,Newington Rd,Newington Rd
794534,41.729831,-72.752045,2021-03-02,A,C,3,State,71-S,New Britain Ave,New Britain Ave
793210,41.727129,-72.7573,2021-03-03,A,B,3,State,71-S,New Britain Ave,New Britain Ave
793439,41.791948,-72.746676,2021-03-04,O,O,3,State,218-E,Main St,North Main 2
795157,41.723979,-72.760235,2021-03-07,O,O,3,State,71-S,New Britain Ave,New Britain Ave
