CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,corridor
628014,41.731693,-72.724774,West Hartford,12/16/19,A,C,4,Local,342,NEW PARK AV,NEW PARK AV,,529-E,New Park Ave
626334,41.75185,-72.715304,West Hartford,12/16/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,KANE ST,,
627154,41.75068772,-72.72930308,West Hartford,12/17/19,A,C,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,ST CHARLES ST,,Quaker Lane South
626391,41.74729,-72.721524,West Hartford,12/17/19,O,O,4,Local,617,OAKWOOD AV NO 2,OAKWOOD AV NO 2,EDGEMERE AV,,
626390,41.760568,-72.742008,West Hartford,12/17/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Memorial Road,South Main to NB
630511,41.756776,-72.763919,West Hartford,12/18/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,ROBERTS LA,,
627899,41.759757,-72.721118,West Hartford,12/18/19,O,O,4,Local,42,BOULEVARD,BOULEVARD,BEVERLY RD,,Boulevard east
628093,41.770376,-72.720734,West Hartford,12/19/19,A,B,4,Local,177,FERN ST,FERN ST,WALBRIDGE RD,,
627156,41.739551,-72.719105,West Hartford,12/19/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,Jefferson Avenue,New Park Ave
627155,41.764104,-72.718089,West Hartford,12/19/19,O,O,4,Local,458,SOUTH HIGHLAND ST,SOUTH HIGHLAND ST,FENNWAY,,
642191,41.765547,-72.764777,West Hartford,12/20/19,O,O,4,Local,334,MOUNTAIN RD NO 1,MOUNTAIN RD NO 1,FERN ST,,
633723,41.785224,-72.750169,West Hartford,12/20/19,A,C,4,Local,183,FLAGG RD,FLAGG RD,BLUE RIDGE LA NO 2,,
632990,41.786548,-72.74093,West Hartford,12/20/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,44-E,,Albany Ave
632989,41.785636,-72.747174,West Hartford,12/20/19,A,C,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,218-E,,Albany Ave
628095,41.76331732,-72.7413317,West Hartford,12/20/19,A,B,4,Local,301,LOOMIS DR,LOOMIS DR,NORTH MAIN ST,,
628083,41.756104,-72.743732,West Hartford,12/20/19,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,BOULEVARD,,South Main to NB
628015,41.752337,-72.715034,West Hartford,12/20/19,O,O,4,Local,394,PROSPECT AV,PROSPECT AV,,Kane Street,Prospect Ave
631382,41.731468,-72.743346,West Hartford,12/21/19,A,C,4,Local,459,SOUTH MAIN ST NO 1,SOUTH MAIN ST NO 1,,New Britain Avenue,New Britain Ave
628143,41.74813,-72.72158,West Hartford,12/21/19,A,C,4,Local,617,OAKWOOD AV NO 2,OAKWOOD AV NO 2,WESTPHAL ST,,
627760,41.746307,-72.73362,West Hartford,12/21/19,A,C,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,ELM DR,,Trout Brook south
638489,41.740702,-72.718224,West Hartford,12/22/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,,New Park Ave
638138,41.75622,-72.74377,West Hartford,12/22/19,A,B,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,BOULEVARD,,South Main to NB
628144,41.745944,-72.717569,West Hartford,12/22/19,O,O,4,Local,288,LEVESQUE AV,LEVESQUE AV,,Prospect Ave.,
632106,41.72632,-72.761583,West Hartford,12/23/19,O,O,4,Local,361,SOUTH RD,SOUTH RD,,New Britain Ave,
630534,41.754158,-72.72918,West Hartford,12/23/19,A,C,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,,Richard St.,Quaker Lane South
630533,41.786517,-72.744678,West Hartford,12/23/19,A,B,4,Local,468,STARKEL RD,STARKEL RD,,Albany Ave.,
633066,41.76073,-72.73773,West Hartford,12/24/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,MEMORIAL RD,,Trout Brook south
