CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description
520578,41.761975,-72.741803,West Hartford,2/16/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,FARMINGTON AV,
519228,41.736342,-72.730495,West Hartford,2/16/19,A,C,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,TROUT BROOK DR,
519227,41.755024,-72.735412,West Hartford,2/16/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,PARK RD,
521033,41.73112,-72.743335,West Hartford,2/17/19,O,O,4,Local,459,SOUTH MAIN ST NO 1,SOUTH MAIN ST NO 1,,New Britain Ave.
540063,41.751893,-72.71507,West Hartford,2/18/19,A,B,4,Local,394,PROSPECT AV,PROSPECT AV,KANE ST,
630512,41.755792,-72.729287,West Hartford,2/19/19,O,O,4,Local,371,PARK RD,PARK RD,QUAKER LANE SO,
521076,41.757629,-72.744601,West Hartford,2/20/19,O,O,4,Local,282,LA SALLE RD,LA SALLE RD,,PELHAM RD
524681,41.742299,-72.733609,West Hartford,2/22/19,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Clarendon Avenue
521553,41.76535,-72.72154,West Hartford,2/22/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,BEVERLY RD,
540086,41.780495,-72.714318,West Hartford,2/23/19,A,A,4,Local,394,PROSPECT AV,PROSPECT AV,,SYCAMORE LN
529703,41.762454,-72.715668,West Hartford,2/23/19,A,B,4,Local,394,PROSPECT AV,PROSPECT AV,WARRENTON AV,
526031,41.76204,-72.74179,West Hartford,2/23/19,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,FARMINGTON AV,
521558,41.75184,-72.71504,West Hartford,2/23/19,A,C,4,Local,394,PROSPECT AV,PROSPECT AV,KANE ST,
521557,41.73001,-72.752136,West Hartford,2/23/19,O,O,4,Local,32,BERKSHIRE RD,BERKSHIRE RD,,New Britain Ave.
521556,41.800264,-72.751954,West Hartford,2/23/19,O,O,4,Local,523,WAMPANOAG DR,WAMPANOAG DR,,North Main St.
521555,41.747299,-72.722019,West Hartford,2/23/19,O,O,4,Local,148,EDGEMERE AV,EDGEMERE AV,,Oakwood Ave.
